app,good_count,bad_count,total_count
com.gems.tsf.game,0,4,4
imagetopdf.pdfmaker.pdfconverter.pdfreader,0,4,4
com.shortbox.tv,0,4,4
com.danagame.app,0,4,4
com.iconchanger.widget.theme.shortcut,0,4,4
casual.tung.sahur.mukbang.asmr,0,4,4
com.city.building.master,0,4,4
com.gtsy.annoying.punch.game,0,4,4
com.dokuwallet.android,0,4,4
app.bpjs.mobilefaskes,0,4,4
com.iprototypes.volume,0,4,4
speed.test.speedcheck.speedtest,0,4,4
com.heytap.music,0,4,4
com.instadownloader.instasave.igsave.ins,0,4,4
jp.co.shueisha.mangaplus,0,4,4
com.lonelycatgames.Xplore,0,4,4
com.playstrom.dop2,0,4,4
com.google.android.apps.kids.familylinkhelper,0,4,4
com.pujiagames.deeeersimulator,0,4,4
com.brain.logic.joygame,0,4,4
com.outfit7.herodash,0,4,4
com.outfit7.talkingtomgoldrun,0,4,4
com.severex.cross.word.puzzle.logic,0,4,4
com.elive.joy.android,0,4,4
com.emoji.keyboard.touchpal,0,4,4
ai.hailuo.video,0,4,4
id.bluebird.driver,0,4,4
com.puzzlegame.match.jewels.adventure,0,4,4
instagram.video.downloader.story.saver,0,4,4
com.samsung.android.uds,0,4,4
com.vipcsea.nanodrama,0,4,4
com.wrongturn.ninecutforinstagram,0,4,4
com.zte.cn.compass,0,4,4
com.ecffri.arrows,0,4,4
com.dmn.kvisionvoucher,0,4,4
com.awesome.puzzlehexasort,0,4,4
ezlink.projeku.tvvoucher,0,4,4
com.martinvillar.android.quranindonesia,0,4,4
id.ekosis.app,0,4,4
com.gameloft.android.GloftAN2HP,0,4,4
com.japan.browservpn,0,4,4
com.sinyee.babybus.recommendapp.global,0,4,4
com.wma.restoreimage.photorecovery.deletedPhotoRecovery.backup.restore,0,4,4
com.wheat.mango,0,4,4
com.samsung.android.ruler,0,4,4
com.lpdpp.sikasep,0,4,4
com.mapcord.gps.coordinates,0,4,4
com.transsion.healthifit,0,4,4
com.samsung.android.spdclient,0,4,4
com.id5dan777.ntdan777cm2,0,4,4
com.neoparty.indonesiagame,0,4,4
com.yc.gloryfitpro,0,4,4
com.d8aspring.surveyon,0,4,4
com.vectorunit.purple.googleplay,0,4,4
apps.redpi.touchscreenrepair,0,4,4
com.gnarlygamestudio.agenthunt,0,4,4
com.melon.langitmusik,0,4,4
com.befaster.bfbrowser,0,4,4
com.guns.tnt.newforminecraft,0,4,4
id.segari.customer,0,4,4
com.grandgames.magicsort,0,4,4
com.predictapps.resumebuilder.cvresumemaker,0,4,4
com.megavision.apps,0,4,4
com.galasoft2013.shipinfo,0,4,4
com.microsoft.windowsintune.companyportal,0,4,4
com.calculator.lock.hide.photo.video,0,4,4
com.transfer.app.help,0,4,4
kika.emoji.keyboard.teclados.clavier,0,4,4
com.bangsawan.powerbank,0,4,4
com.socialbella.soco,0,4,4
com.bergel.tauros,0,3,3
com.octamarkets,0,3,3
