app,good_count,bad_count,total_count
com.newlang.weelife,2,0,2
com.hpm.homi,2,0,2
com.novelss.weread,2,0,2
com.oprex.nopol,2,0,2
imperial.id.android,2,0,2
com.nyxio.tenebroj,2,0,2
com.gdn.blibli.mta,2,0,2
com.ringtonemakerpro.android,2,0,2
com.bharat.browser,1,0,1
com.gansoft.photosolve,1,0,1
com.hungrystudio.block.puzzle.fun.brain.free,1,0,1
com.lutech.pianoapp,1,0,1
com.quickmathto.resolver,1,0,1
com.app.cerb.mcs9b,1,0,1
com.catchmobile.forme.intermittent.fasting.tracker.timer.plan,1,0,1
com.forevernine.ikpure.android,1,0,1
com.mylaps.speedhive,1,0,1
org.chromium.webapk.a6c6ca9a336abe819_v2,1,0,1
water.sort.soda.color.puzzle.games.trans,1,0,1
me.piebridge.brevent,1,0,1
org.chromium.webapk.ae8e4294af3256b60_v2,1,0,1
app.indopaket,1,0,1
com.cancreative.psis_masyarakat,1,0,1
com.gogoogle.android.gms,1,0,1
com.ipg.gguide.dcm_app.android,1,0,1
com.neximolabs.droidtimelapsepro,1,0,1
com.nhstudio.inote.noteios.noteiphone,1,0,1
com.nttdocomo.android.applicationmanagersub,1,0,1
com.sonyericsson.textinput.uxp,1,0,1
com.sukros.timelapse,1,0,1
com.yourcompanyname.xperia1,1,0,1
it.jcsoftmobile.snailcamera.snailcamerapro,1,0,1
net.andirc.lteonfoff,1,0,1
org.chromium.webapk.a055b1b9b5a997916_v2,1,0,1
com.gpscamera.timestamp.photolocation.geotag.gpsmapcamera,1,0,1
com.nature.hotwonder,1,0,1
com.quicktool.gpstracker,1,0,1
three.dd.wpp,1,0,1
wood.block.crush.adventure.puzzle.games,1,0,1
com.artpol.cat.translator,1,0,1
com.bh.diary.xm,1,0,1
com.bravestars.savethedog.drawgame,1,0,1
com.fxpro.direct.application,1,0,1
com.fyhk.craftman.mi,1,0,1
com.fyhk.odyssey.xm,1,0,1
com.hks.Airplane.mi,1,0,1
com.hks.SpiderFighting.mi,1,0,1
com.hks.robotCar.mi,1,0,1
com.hotplay.eatingballs,1,0,1
com.metric.lerningcaliper,1,0,1
com.miniit.brain,1,0,1
com.mj.simulator.mi,1,0,1
com.mjgf.pocket.xm,1,0,1
com.xgame.motoRaceMaster.mi,1,0,1
freeplay.crowdrun.com,1,0,1
mml.studio.brainsurvival,1,0,1
cn.wps.moffice_i18n,1,0,1
com.gf.bike.race.free.racing.games,1,0,1
com.hdvideoplayer.multimedeaplayer.videoplayerallformat,1,0,1
com.veitch.themelodymaster.pmf,1,0,1
id.go.bangkalankab.simpeg,1,0,1
com.solusidana.simulasi,1,0,1
com.yahoo.mobile.client.android.mail.lite,1,0,1
com.coreaicreations.velixa.alpha,1,0,1
com.friedl.randomlettergenerator,1,0,1
com.remoduplicatefilesremover,1,0,1
com.all.video.downloadmanager,1,0,1
com.fintag.Toko,1,0,1
com.mahjong.match.blast,1,0,1
com.supermarket.journey,1,0,1
com.topupkuota,1,0,1
com.release.kociv6,1,0,1
com.usid.mobileanggota.mw,1,0,1
com.yuanfudao.android.leo.cm,1,0,1
com.SIPenyuluh,1,0,1
com.abel.ubinan,1,0,1
com.bsg.tiops.nobodyjr.bsgqris,1,0,1
com.feiwin.x99k3,1,0,1
com.frojo.moy5,1,0,1
com.heatherglade.idleguy,1,0,1
com.live.earth.map.satellite.map.view.driving.directions.navigation,1,0,1
com.mad.ducklife,1,0,1
com.mad.ducklife1,1,0,1
com.madfingergames.deadtrigger2,1,0,1
com.metanote.boyandgirl.musicgame,1,0,1
com.mlkck.flowergame,1,0,1
com.mobirix.scvb,1,0,1
com.noodlecake.altosadventure,1,0,1
com.vividgames.realboxing,1,0,1
com.vividgames.realboxing2,1,0,1
com.cash.money.tracker.goals.savemore,1,0,1
com.linkqu.mobile,1,0,1
com.otoreport.mjreloadatjehapk,1,0,1
id.paymobileku.app,1,0,1
com.jba.gpsphototags,1,0,1
com.kezi10.app,1,0,1
com.mobileiron,1,0,1
com.nes.lin.qcontra,1,0,1
com.studio501.jumpdunk,1,0,1
net.homecredit.much,1,0,1
puzzlegame.buildfun.farmmatch,1,0,1
